Player,St,D/I
Baljit Singh,0,0.142
JT Ball,0,0.5
CT Bancroft,0,1
HMCM Bandara,0,0.25
S Bantzas,0,1
AB Barath,0,0.5
J Barker,0,0.25
P Baron,0,0.2
OO Bascome,0,0.333
T Bavuma,0,0.5
RL Bhudia,0,0.333
SR Bhudia,0,0.25
Bilawal Bhatti,0,0.111
TR Birt,0,0.25
D Bishoo,0,0.142
JAR Blain,0,0.2
TA Blundell,0,0.333
SM Boland,0,0.333
SG Borthwick,0,1
LE Bosman,0,0.071
IDR Bradshaw,0,1
DR Briggs,0,0.166
N Buckle,0,0.333
J Bulele,0,0.166
DE Burgess,0,0.25
DK Butler,0,1
CL Cairns,0,0.5
JD Campbell,0,0.5
RJ Campbell,0,0.333
MA Carberry,0,1
NM Carter,0,0.142
P Chandran,0,0.333
N Chejay,0,1
TS Chisoro,0,0.083
AN Cook,0,0.25
J Cutinho,0,0.333
DK Dahyabhai Ahir,0,0.5
JWM Dalrymple,0,0.333
H Dandapani,0,0.2
K Dasan,0,0.333
AS Dean,0,0.5
M de Lange,0,0.166
CJ Delany,0,0.25
SI de Saram,0,1
PC de Silva,0,0.5
Dhiman Ghosh,1,1
AB Dinda,0,0.111
LA Dunbar,0,0.5
AB Dursak,0,0.25
G Dutta,0,0.142
J Edness,1,0.333
RMS Eranga,0,0.333
L Evile,0,0.25
M Faheem,0,0.25
Faisal Khan,0,0.25
Fareed Ahmad,0,0.071
Farhan Ahmed,0,0.333
Fayyaz Ahmed,0,1
CJ Ferguson,0,0.333
SE Findlay,0,0.5
JA Fitzgerald,0,0.25
BT Foakes,0,1
CR Foggo,0,0.333
TS Fray,0,0.1
C Fry,0,0.333
R Frylinck,0,0.333
ST Gabriel,0,0.5
WT Gavera,0,0.166
Gershon Yusuf,0,1
MR Gillespie,0,0.09
R Goodwin,0,0.25
JOA Gordon,0,0.142
TG Gordon,0,0.333
K Gore,0,0.25
H Gori,0,0.142
S Goud,0,1
AM Guruge,0,0.2
Hafez Farooq,0,0.25
OJ Hairs,0,0.125
Hamza Dar,0,1
SJ Harmison,0,0.5
NM Hauritz,0,0.333
ML Hayden,0,0.111
JR Hazlewood,0,0.142
MJ Henry,0,0.166
WW Hinds,0,0.2
GB Hogg,0,0.066
Z Hoque,0,0.333
JM How,0,0.2
MG Hunter,0,0.25
JJ Huo,0,0.166
J Hurley,0,0.333
A Husain,0,0.2
GM Hyde,0,0.333
Ibrahim Nashath,0,0.333
Ibrahim Rizan,0,0.2
Ibrahim Zadran,0,0.333
AF Ifill,0,0.166
Iftikhar Ahmed,0,0.166
Ilyas Ahmed,0,0.166
Imran Ashraf,0,0.333
Imran Haider,0,0.09
PJ Ingram,0,0.333
DF Jacobs,0,0.25
KM Jadhav,0,0.111
S Jamil,0,0.333
Jasdeep Singh,0,0.25
Jaspreet Singh,0,0.25
K Jethi,0,0.2
J Jojo,0,0.2
MO Jones,0,0.125
NG Jones,0,0.25
C Jonker,0,0.5
Junaid Siddique,0,0.142
Kaleem Shah,0,0.166
JK Kamande,0,0.083
Kamran Shazad,0,0.333
TE Kane,0,0.2
S Keshvani,0,0.5
RWT Key,0,1
N Khanna,0,0.5
Khizer Ahmed,1,0.2
N Khosla,0,0.25
Khurram Chohan,0,0.25
TCR Kimber,1,0.333
NR Kirton,0,0.2
RK Kleinveldt,0,0.166
Kuldeep Singh,0,0.25
P Kumar,0,0.1
R Kumar,0,0.25
UKPW Kumaranayaka,0,0.333
A Lagos,0,1
H Lakov,0,0.333
CK Langeveldt,0,0.111
B Laughlin,0,0.333
J Lewis,0,0.5
ML Lewis,0,0.5
RN Lewis,0,1
NCK Liyanage,0,0.2
KS Lokuarachchi,0,0.5
J Long,0,0.5
T Lungameni,0,0.166
GD McGrath,0,0.5
NJ Maddinson,0,0.166
DL Maddy,0,0.25
Mahedi Hasan,0,1
Mahmad Data,0,0.5
S Mahmood,0,0.333
SI Mahmood,0,0.25
GI Maiden,0,0.333
BF Mailata,0,0.25
GT Main,0,0.5
D Maisuria,0,0.166
A Makesh,0,0.25
AK Mandal,0,0.5
Mandeep Singh,0,0.333
P Manning,0,0.166
AK Markram,0,0.5
HJH Marshall,0,0.333
OM Marshall,0,0.333
CS Martin,0,0.166
DR Martyn,0,0.25
I Master,0,0.5
GE Mathurin,0,0.333
B Mavuta,0,0.333
M Meade,0,1
SC Meaker,0,0.5
J Mees,0,0.333
PHKD Mendis,0,0.25
CAJ Meschede,0,0.2
KO Meth,0,0.5
Mian Mehmood,0,0.25
AJ Michael,0,0.25
TS Mills,0,0.2
A Mishra,0,0.1
P Mishra,0,0.333
K Modise,0,0.333
Mohammad Irfan,0,0.045
Mohammad Kashif,0,0.333
Mohammad Shahzad,0,0.05
Mohammad Tauqir,0,0.333
Mohammad Yousuf,0,0.333
JN Mohammed,0,0.111
Mohammed Qasim,0,0.333
Mohammed Siraj,0,0.333
HJC Mol,0,0.333
Mominul Haque,0,0.166
D Mongia,0,1
M Mooketsi,0,0.142
Mudassar Muhammad,0,0.142
Muhamad Syahadat,0,0.111
Muhammad Amir,0,1
Muhammad Asjed,0,0.5
Muhammad Kaleem,0,0.111
Muhammad Khurram,0,0.2
Muhammad Naeem,0,0.2
Muhammad Saleem,0,0.25
JK Mukhiya,0,0.25
EMDY Munaweera,0,0.076
GBW Munaweera,0,0.2
Munir Dar,0,0.5
M Muralitharan,0,0.083
D Murphy,0,0.25
Musawar Shah,0,0.5
N M'shangwe,0,0.2
AK Muslar,0,0.333
Muslim Yar,0,0.142
T Muzarabani,0,0.111
M Mwamadi,0,0.333
Najjam Shahzad,0,0.25
DM Nakrani,0,0.25
W Nalisa,0,0.111
DP Nannes,0,0.058
Naseem Khushi,0,0.1
A Nathwani,0,0.2
A Natubhai Ahir,0,0.333
Naveed Ahmed,0,0.142
Nazakat Ali,0,0.5
Nazril Rahman,0,0.142
A Nel,0,0.5
JD Nel,0,0.111
L Ngidi,0,0.142
PA Nixon,1,1
L Nussbaumer,0,1
SH Obed,0,0.083
E Ochieng,0,0.5
PP Ojha,0,0.166
SNJ O'Keefe,0,0.142
IO Okpe,0,0.125
R Olipa,0,0.5
Omar Hayat,0,0.5
A Otwani,0,0.25
SD Outerbridge,0,0.333
E Packard,0,0.25
K Pala,0,0.5
I Pandey,0,0.25
NMS Param,0,0.125
PA Patel,0,0.5
RN Patel,0,0.5
D Paterson,0,0.125
C Pengkumta,0,0.25
AK Perera,0,0.166
SL Perera,0,0.5
WKD Perkins,0,1
J Perman,0,0.5
AN Petersen,0,0.5
VD Philander,0,0.142
K Pierre,0,0.125
R Pillai,0,0.166
R Pisal,0,1
S Pokhriyal,0,0.2
KOA Powell,0,1
M Pushpakumara,0,1
A Rangaswamy,0,0.25
Raqibul Hasan,0,0.2
Raza Iqbal,0,0.2
CMW Read,0,1
FL Reifer,0,1
JB Reva,0,0.111
KAJ Roach,0,0.09
IH Romaine,0,0.5
Rubel Hossain,0,0.038
Rumman Raees,0,0.125
RJMGM Rupasinghe,0,0.5
GR Russ,0,0.333
HD Rutherford,0,0.125
SE Rutherford,0,0.333
Saad Nasim,0,0.333
VM Sachdev,0,0.5
Sadeeq Khan,0,0.333
Sahir Naqash,0,0.142
NA Saini,0,0.2
Sajedul Islam,0,1
AM Samad,0,0.142
SV Samson,0,1
R Sandaruwan,0,0.1
JRMVB Sanjaya,0,0.125
K Santokie,0,0.083
Saqlain Arshad,0,0.5
M Sarenac,0,0.5
A Sarma,0,0.333
MM Sarwar,0,0.2
I Sawmy,0,0.5
Sayed Shirzad,0,0.25
CP Schofield,0,0.25
Shaffeq Muhammad,0,0.5
Shafiul Islam,0,0.058
Shaheen Shah Afridi,0,0.1
Shaheryar Butt,0,0.333
Shahid Wasif,0,0.111
Shahriar Nafees,0,1
A Shahzad,0,0.333
Shamsudheen Purat,0,0.333
JNK Shannon,0,0.125
Sharafuddin Ashraf,0,0.125
MM Sharma,0,0.125
V Shetty,0,0.5
Shoaib Khan jnr,0,0.25
Shuvagata Hom,0,0.2
EHSN Silva,0,0.5
KRP Silva,0,0.5
M Simpson-Parker,0,0.333
J Singye,0,0.5
DS Smith,0,0.166
SJS Smith,1,0.2
J Smits,0,0.2
JT Smuts,0,0.125
JN Snape,0,1
CB Sole,0,0.25
A Srivastav,0,0.25
ACF Stokes,0,0.142
AJ Strauss,0,0.25
R Strydom,0,0.333
Sufyan Mehmood,0,0.333
P Syafiq Ali,0,1
Syed Rasel,0,0.125
Tanveer Ahmed,0,0.2
Taskin Ahmed,0,0.058
P Taylor,0,0.142
T Taylor,0,0.166
SR Tendulkar,0,1
SP Terry,0,1
DC Thomas,1,0.333
S Tobgay,0,0.5
GC Tonge,0,1
RJW Topley,0,0.166
A Tripathi,0,0.333
LL Tsotsobe,0,0.043
JJ Tucker,0,0.2
S Tyagi,0,1
A Uniyal,0,0.333
Usama Master,0,0.166
Usman Ali,0,0.2
Usman Limbada,0,0.142
Usman Shinwari,0,0.062
Usman Waheed,0,0.166
JDF Vandersay,0,0.1
MB van Schelven,0,0.5
TCW Veillard,0,0.25
S Vijayakumar,0,0.111
Vimal Kumar,0,0.5
R Vinay Kumar,0,0.111
L Vincent,0,0.111
W Viraliliu,0,0.1
Vishal Ahir,0,1
KDK Vithanage,0,0.333
Waqar Khan,0,0.25
Waqas Ali,0,0.5
Washeem Abbas,0,0.5
VS Wategaonkar,0,0.5
RM West,0,0.2
AA Westphal,0,0.2
BTJ Wheal,0,0.2
BM Wheeler,0,0.166
S Wickramasekara,0,0.2
SA Wijeyeratne,0,0.5
JD Wildermuth,0,0.5
CR Woakes,0,0.125
LJ Woodcock,0,0.333
GH Worker,0,0.5
AS Wright,0,0.125
CM Wright,0,0.5
HN Ya France,0,0.166
Yasar Idrees,0,1
Yasir Arafat,0,0.076
Zaheer Maqsood,0,0.333
Zahid Hussain,0,0.333
Zameer Khan,0,0.5
A Zampa,0,0.038
C Zavoiu,0,0.333
Zawar Farid,0,0.25
Zeeshan Abbas,0,1
Zubaidi Zulkifle,0,0.25
Zulfiqar Babar,0,0.142
Zulqarnain Haider,1,0.333
Zulqarnain Haider,0,0.2
Aamer Ikram,0,0
Aamer Yamin,0,0
Aaron Jones,0,0
Z Abbasi,0,0
Abbas Saad,0,0
YA Abdulla,0,0
Abdullah Mahmood,0,0
Abdullah Sheikh,0,0
Abdul Rashid,0,0
Abdur Rauf,0,0
M Aboagye,0,0
RA Abolarin,0,0
Abul Hasan,0,0
AG Achar,0,0
F Achelam,0,0
Adil Hanif,0,0
Adnan Mufti,0,0
N Advani,0,0
Aftab Ahmed,0,0
AB Agarkar,0,0
A Ahmadhel,0,0
RI Ahmed,0,0
Ahmed Wardak,0,0
Ahsan Abbasi,0,0
Ainool Hafizs,0,0
Aizaz Cheema,0,0
D Ajekun,0,0
C Akyuz,0,0
Ali Ivan,0,0
Ali Naqi,0,0
J Allen,0,0
HS Alta,0,0
Ameel Mauroof,0,0
Ameer Saiyed,0,0
Aminul Islam,0,0
Amir Hayat,0,0
Amir Hamza,0,0
Ammad Uddin,0,0
Anas Khan,0,0
J Anderson,0,0
DK Anefie,0,0
A Anemogiannis,0,0
B Angeltti,0,0
DNA Ankrah,0,0
M Ansari,0,0
Ansar Iqbal,0,0
MA Aponso,0,0
Apon Mustafizur,0,0
S Appu,0,0
S Aravind,0,0
JC Archer,0,0
Z Arinaitwe,0,0
RP Arnold,0,0
B Arora,0,0
Arsalan Arif,0,0
Arsalan Qadir,0,0
Arshad Hayat,0,0
Arslan Ahmed,0,0
Arslan Ahmed,0,0
Asad Ali,0,0
A Aspiotis,0,0
MS Atapattu,0,0
S Ateak,0,0
Atif Ali Khan,0,0
Atif Mehmood,0,0
R Avery,0,0
Awais Zia,0,0
P Awana,0,0
Aziz Mohammad,0,0
Azyan Farhath,0,0
S Badrinath,0,0
LS Baker,0,0
R Bakum,0,0
L Balaji,0,0
KMC Bandara,0,0
HH Banner,0,0
TC Barker,0,0
MC Bascombe,0,0
Bashir Shah,0,0
TC Bastiampillai,0,0
MD Bates,0,0
GJ Batty,0,0
D Bau,0,0
CS Baugh,0,0
DE Bernard,0,0
TL Best,0,0
P Bharat Patel,0,0
S Bhari,0,0
P Bhart,0,0
A Bhattarai,0,0
U Bhatti,0,0
Bilal Ahmed,0,0
IS Billcliff,0,0
STR Binny,0,0
K Birkenstock,0,0
KK Bishnoi,0,0
CC Blake,0,0
AM Blignaut,0,0
GH Bodi,0,0
N Boje,0,0
NE Bonner,0,0
CJ Boyce,0,0
TS Braat,0,0
DL Brangman,0,0
DR Brown,0,0
P Buccimazza,0,0
NB Budayair,0,0
A Bulow,0,0
CG Burnett,0,0
S Byrne,0,0
G Caisley,0,0
HL Carlyon,0,0
A Carthew,0,0
T Caruana,0,0
D Cato,0,0
JJ Celestine,0,0
DL Chahar,0,0
RD Chahar,0,0
Charanjeet Singh,0,0
G Chaturvedi,0,0
M Chauhan,0,0
VB Chikkannaiah,0,0
Chirag Suri,0,0
S Chophel,0,0
DO Christian,0,0
I Civric,0,0
GL Cloete,0,0
FRJ Coleman,0,0
NG Collins,0,0
MNR Cooray,0,0
M Cope,0,0
SJ Cotter,0,0
MS Crane,0,0
SM Curran,0,0
D Daesrath,0,0
H Dajc,0,0
S Dalton,0,0
I Danladi,0,0
H Davids,0,0
S Davizi,0,0
Dawlat Ahmadzai,0,0
DC Delany,0,0
D de la Puente,0,0
PA Desai,0,0
ST de Silva,0,0
BJ Diamanti,0,0
V Dikov,0,0
LHD Dilhara,0,0
SDJJ Dima,0,0
N Dipakkumar Patel,0,0
HH Dippenaar,0,0
M Dixit,0,0
A Djorovic,0,0
XJ Doherty,0,0
JN Dorji,0,0
K Dorji,0,0
RM Dorji,0,0
U Dorji,0,0
TM Dowlin,0,0
R Dravid,0,0
BM Duckett,0,0
B Dugic,0,0
J Dunn,0,0
PS Eaglestone,0,0
KR Ebanks,0,0
Ehsan Nawaz,0,0
AM Ellis,0,0
C Emmott,0,0
RR Emrit,0,0
Faizan Asif,0,0
Fakhrul Mohon,0,0
Fawad Ahmed,0,0
Fazal Niazai,0,0
H Fennell,0,0
B Fernando,0,0
BOP Fernando,0,0
MVT Fernando,0,0
Fiaz Ahmad,0,0
Fida Hussain,0,0
R Flannigan,0,0
P Florin,0,0
KK Flowers,0,0
C Floyd,0,0
BC Fortuin,0,0
AR Gandhi,0,0
D Ganga,0,0
MD Garratt,0,0
Garret Banner,0,0
SP Gauchan,0,0
A Gavde,0,0
R Gaznavi,0,0
B Geeves,0,0
L Gharasim,0,0
JN Gillespie,0,0
O Goker,0,0
GF Gomes,0,0
M Goonetilleke,0,0
D Gough,0,0
S Goustis,0,0
L Gregory,0,0
R Gunasekera,0,0
HF Gurney,0,0
AJ Hall,0,0
PSP Handscomb,0,0
Hardev Singh,0,0
Haroon Arshad,0,0
Haroon Mughal,0,0
LHB Harrington-Myers,0,0
RJ Harris,0,0
SM Harwood,0,0
Hasheem Shahzad,0,0
Hashmatullah Shahidi,0,0
Hassan Rasheed,0,0
RJ Hatchman,0,0
Hayatullah Niazi,0,0
H Helva,0,0
DL Hemp,0,0
T Henderson,0,0
PD Hennessy,0,0
HMRKB Herath,0,0
BW Hilfenhaus,0,0
J Hill,0,0
H Hiri,0,0
J Hirschi,0,0
PA Hitchcock,0,0
KC Hodsoll,0,0
S Hongsi,0,0
PJ Hughes,0,0
EH Hutchinson,0,0
Ibrahim Khan,0,0
Iftikhar Anjum,0,0
Ijaz Hussain,0,0
Imam-ul-Haq,0,0
Imran Ali Butt,0,0
Imran Bulbulia,0,0
Imran Khan,0,0
RK Inampud,0,0
Inzamam-ul-Haq,0,0
AJ Ireland,0,0
Irfan Bhima,0,0
Irfan Mir,0,0
E Isaneez,0,0
B Ivanov,0,0
D Jakiel,0,0
NA Janes,0,0
T Jamtsho,0,0
Javed Ahmadi,0,0
Javed Maroofkhail,0,0
CU Jayasinghe,0,0
P Jayeshbhai Patel,0,0
Jay Odedra,0,0
JS Jesani,0,0
HJ Jordaan,0,0
GJ Joseph,0,0
K Joshi,0,0
Jubair Hossain,0,0
Junaid Khan,0,0
S Jyoti,0,0
Kaleemullah,0,0
G Kaltongga,0,0
S Randiv,0,0
TP Kamungozi,0,0
S Kansoy,0,0
A Karn,0,0
M Kartik,0,0
E Katchay,0,0
S Kaul,0,0
HB Kayondo,0,0
D Kegasitswe,0,0
SKW Kelly,0,0
P Kerai,0,0
A Khan,0,0
B Khumalo,0,0
Khurram Manzoor,0,0
Khushdil Shah,0,0
JH Kiani,0,0
GE Kidd,0,0
VJ Kingma,0,0
RJ Kirtley,0,0
S Kizilkaya,0,0
MF Koc,0,0
AC Kose,0,0
A Krishna,0,0
GJP Kruger,0,0
DS Kulkarni,0,0
CBRLS Kumara,0,0
Kushal Malla,0,0
GA Lamb,0,0
T Langa,0,0
E Leie,0,0
RDM Leverock,0,0
I Lisboa,0,0
LS Livingstone,0,0
CA Liyanage,0,0
K Loday,0,0
J Louw,0,0
L Louwrens,0,0
Lucky Ali,0,0
NM Lyon,0,0
RT Lyons,0,0
AM McCarthy,0,0
NFI McCallum,0,0
OC McCoy,0,0
AJ McKay,0,0
CJ McKay,0,0
ND McKenzie,0,0
DSK Madushanka,0,0
LD Madushanka,0,0
RP Magar,0,0
R Mahajan,0,0
C Mahoney,0,0
Mamoon Latif,0,0
G Manan,0,0
D Manani,0,0
M Markande,0,0
D Marks,0,0
JAH Marshall,0,0
JL Martel,0,0
B Masaba,0,0
MJ Mason,0,0
N Master,0,0
ZE Matsinhe,0,0
V Mbazo,0,0
GJ McCarter,0,0
BJ McCarthy,0,0
Z McLaughlin,0,0
A Mehmood,0,0
Mehrab Hossain jnr,0,0
D Mejia,0,0
K Mendon,0,0
JH Mensah,0,0
DP Michael,0,0
Michael Nazir,0,0
Mihusan Hamid,0,0
Mirza Ahsan,0,0
Mohamed Arief,0,0
Mohameed Taiwo,0,0
Mohammad Adnan,0,0
Mohammad Ahsan,0,0
Mohammad Amin,0,0
Mohammad Hasnain,0,0
Mohammad Iqbal,0,0
Mohamed Mahfooz,0,0
Mohammad Qazi,0,0
Mohammad Rafique,0,0
Mohammad Shahid,0,0
Mohammed Shami,0,0
MR Montfort,0,0
VV Morea,0,0
A Morris,0,0
JWN Moses,0,0
Mohsin Hub,0,0
Muaviath Ganee,0,0
Muhammad Hamayun,0,0
Muhammad Musa,0,0
Muhammad Rafique,0,0
Muhammed Shanil,0,0
Muhammad Wafiq,0,0
D Muhumuza,0,0
Mukhtiar Singh,0,0
Muktar Ali,0,0
FF Mulivai,0,0
T Mupariwa,0,0
S Murari,0,0
Musa Shaheen,0,0
P Mustard,0,0
F Mutizwa,0,0
Nadif Chowdhury,0,0
S Nadigotla,0,0
Najeeb Amar,0,0
A Nanda,0,0
M Nandela,0,0
A Nao,0,0
Nasir Aziz,0,0
Nasrulla Rana,0,0
Nauman Anwar,0,0
NH Naureen,0,0
Naveen-ul-Haq,0,0
Nawaf Ahmed,0,0
Nazimuddin,0,0
Nazmul Hossain,0,0
Nazmus Sadat,0,0
R Neale,0,0
S Nerandzic,0,0
R Ngarava,0,0
JO Ngoche,0,0
HM Nicholls,0,0
D Nikolov,0,0
K Nima,0,0
ML Nkala,0,0
F Nkhoma,0,0
AA Noffke,0,0
Noman Kamawi,0,0
MJ North,0,0
A Nortje,0,0
L Nou,0,0
GM Ntambalika,0,0
J Nyumbu,0,0
IE O'Brien,0,0
NV Ojha,0,0
PJ Ongondo,0,0
LN Onyango,0,0
A Orfila,0,0
Ovais Yousof,0,0
VS Padhaal,0,0
BA Pai,0,0
RJG Palmer,0,0
MS Panesar,0,0
BA Parchment,0,0
MA Parker,0,0
MW Parkinson,0,0
Parvez Rasool,0,0
A Patel,0,0
AY Patel,0,0
M Patel,0,0
M Patel,0,0
MIA Patel,0,0
MM Patel,0,0
TK Patel,0,0
N Pathan,0,0
SS Pathirana,0,0
WA Peatfield,0,0
MDK Perera,0,0
PDRL Perera,0,0
S Periyalwar,0,0
V Permaul,0,0
AM Phangiso,0,0
T Phaswana,0,0
S Pillai,0,0
LA Pomersbach,0,0
VRCF Poubel,0,0
H Pragji,0,0
C Prasad,0,0
KTGD Prasad,0,0
D Pretorius,0,0
AG Prince,0,0
SMA Priyanjan,0,0
Qalandar Khan,0,0
Qasim Zia,0,0
Rafatullah Mohmand,0,0
Rahman Ademi,0,0
P Raho,0,0
EC Rainsford,0,0
PBB Rajapaksa,0,0
Raja Adeel,0,0
CAK Rajitha,0,0
Rakibul Hasan,0,0
RLB Rambukwella,0,0
Rameez Raja,0,0
SHA Rance,0,0
DA Rankin,0,0
RJ Ranpura,0,0
Rashid Khan,0,0
KB Ratilal,0,0
Ravinder Singh,0,0
Razmal Shigiwal,0,0
NJ Reardon,0,0
J Reb,0,0
Riazat Ali Shah,0,0
ACL Richards,0,0
DM Richards,0,0
EB Ringera,0,0
R Rivas,0,0
CP Rizwan,0,0
Rizwan Mahmood,0,0
WJR Robertson,0,0
Robiul Islam,0,0
GA Rogers,0,0
BJ Rohrer,0,0
Rokhan Barakzai,0,0
Rony Talukdar,0,0
JA Rudolph,0,0
SI Runsewe,0,0
AK Sah,0,0
TK Saha,0,0
Sajid Liaqat,0,0
Sakib Hasan,0,0
BA Sambo,0,0
O Sam Arthur,0,0
Sandeep Sharma,0,0
Saqlain Ali,0,0
Saqlain Sajib,0,0
Sarfaraz Ali,0,0
R Satheesan,0,0
JOP Scamans,0,0
K Senamontree,0,0
YSD Seneveratne,0,0
M Sert,0,0
Shabbir Ahmed,0,0
Shabir Noori,0,0
L Shafeeg,0,0
Shahadat Hossain,0,0
Shahbaz Badar,0,0
Shahzad Muhammad,0,0
Sharif Asadullah,0,0
KV Sharma,0,0
R Sharma,0,0
ZK Shem,0,0
Shoaib Gazi Hossain,0,0
PM Siddle,0,0
KM Silva,0,0
BA Simango,0,0
LA Simango,0,0
M Simmons,0,0
Simranjit Singh,0,0
MS Sinclair,0,0
H Singh,0,0
S Singh,0,0
S Singh,0,0
JR Singleton,0,0
T Singye,0,0
RM Siri,0,0
DC Smith,0,0
OF Smith,0,0
RAJ Smith,0,0
Sohail Khan,0,0
S Sohal,0,0
Soheel Hussain,0,0
M Sohel Patel,0,0
Sohrawordi Shuvo,0,0
S Sola,0,0
S Soosiyakumar,0,0
ES Soto,0,0
M Spry,0,0
BB Sran,0,0
L Sreekumar,0,0
H Ssenyondo,0,0
AJ Staal,0,0
B Stanlake,0,0
AL Stephen,0,0
BS Stephenson,0,0
TJ Stephenson,0,0
Suhail Sadiq,0,0
Suhrid Roy,0,0
Sumair Khan,0,0
Suresh Kumar,0,0
ZE Surkari,0,0
MJ Swepson,0,0
Syazrul Idrus,0,0
Tafseer Ali,0,0
Taijul Islam,0,0
Talha Khan,0,0
Tanvir Ahmed,0,0
Tariq Aziz,0,0
Tarun Sharma,0,0
R Telemachus,0,0
VE Tembo,0,0
H Thaker,0,0
J Thinley,0,0
AC Thomas,0,0
O Thomas,0,0
EP Thompson,0,0
S Thuraisingam,0,0
SF Tiai,0,0
BM Tickner,0,0
CT Tremlett,0,0
IJL Trott,0,0
RJ Trott,0,0
TE Tucker,0,0
DR Tuffey,0,0
T Turan,0,0
HER Tyler,0,0
ML Udawatte,0,0
T Ulutuna,0,0
R Ulutuna,0,0
Umair Ali,0,0
J Umanath,0,0
Usman Mushtaq,0,0
WPUJC Vaas,0,0
JJ van der Wath,0,0
VB van Jaarsveld,0,0
S Varathappan,0,0
MP Vaughan,0,0
G Venkateswaran,0,0
JK Vifah,0,0
V Vijh,0,0
Vikramjit Singh,0,0
DJ Vilas,0,0
TC Vine,0,0
R Vishwanath,0,0
C Vorster,0,0
Walid Ghauri,0,0
T Wangchuk jnr,0,0
S Waqas Ahmed,0,0
Waqas Khan,0,0
Waqas Maqsood,0,0
Waqas Raja,0,0
I Wardlaw,0,0
Wasim Ali,0,0
SMK Waththage,0,0
UWMBCA Welegedara,0,0
T Whiteman,0,0
SG Whittingham,0,0
G Wijekoon,0,0
JW Wilson,0,0
MA Wood,0,0
Yamin Ahmadzai,0,0
N Yordanov,0,0
Zain ul Tashnam,0,0
Zakir Hasan,0,0
Zaki Ul Hassan,0,0
Zamir Khan,0,0
S Zargar,0,0
Zeeshan Siddiqui,0,0
Zeshan Arif,0,0
Ziaur Rahman,0,0
Ziaur Rehman,0,0
Zohaib Sarwar,0,0
M Zondeki,0,0
GMC Mol,0,-
JD Schoonheim,0,-
